Nome: SAO MATEUS
Codigo Estacao: A616
Latitude: -18.676198
Longitude: -39.864051
Altitude: 28.66
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;,4;1006,691667;22,195833;31,1;25,5875;20,9;82,958333;56;9,7;2,4375;
2020-01-02;0;1005,55;22,95;32,8;26,125;22,5;83,875;56;15,7;2,9;
2020-01-03;32,8;1005,5375;23,65;32,8;25,983333;20,9;88,125;58;11,4;2,325;
2020-01-04;17,6;1005,7;23,195833;32,6;25,033333;22,6;90,291667;61;11,4;2,95;
2020-01-05;3,6;1005,416667;23,375;33,6;26,645833;22,7;83,5;53;9,3;2,879167;
2020-01-06;,6;1006,5;23,925;32,5;26,420833;23,7;86,833333;60;9,3;2,6625;
2020-01-07;2;1007,566667;23,491667;32,1;26,783333;22,7;83;61;10,7;3,245833;
2020-01-08;0;1008,325;23,15;31,4;26,841667;24,3;80,916667;65;9,7;2,966667;
2020-01-09;0;1008,570833;21,791667;31,8;25,8625;20,9;80,041667;54;9,3;2,5125;
2020-01-10;0;1009,079167;22,016667;32,3;25,9875;20,6;80,416667;55;9,6;2,779167;
2020-01-11;0;1008,708333;22,258333;33,6;26,658333;22,2;78,75;45;9,3;3,179167;
2020-01-12;0;1008,429167;22,966667;33,8;27,166667;22,8;79,333333;48;9;2,933333;
2020-01-13;0;1008,145833;23,520833;33,3;27,091667;22,7;82,25;53;8,1;2,454167;
2020-01-14;0;null;null;29,5;null;23;90,333333;65;8,7;null;
2020-01-15;null;1009,725;22,1375;29,6;25,025;22,1;84,416667;67;6,2;2,05;
2020-01-16;0;1009,895833;23,070833;32,9;27,0125;22,6;80,791667;52;9,8;2,5375;
2020-01-17;0;1010,029167;23,1375;33;27,241667;23,4;79,708333;52;10,1;3,029167;
2020-01-18;0;1012,166667;22,495833;29,7;25,791667;23,2;82,75;66;9,5;2,520833;
2020-01-19;0;1010,775;21,575;31,9;25,95;21,8;77,625;54;8,5;2,416667;
2020-01-20;2,8;1008;22,591667;30,6;25,8;22,1;83,125;65;7,3;2,0375;
2020-01-21;55,4;1005,2625;22,916667;29,6;24,804167;21,3;89,75;68;6,3;2,1;
2020-01-22;38,4;1004,55;23,1375;27,9;24,929167;22,1;89,958333;77;8,8;1,970833;
2020-01-23;,6;1004,970833;22,633333;27,2;24,85;22,7;87,833333;75;9,8;2,695833;
2020-01-24;1,4;1004,220833;23,104167;26,2;24,154167;23,5;94,083333;79;9,6;2,9875;
2020-01-25;5,6;1004,925;23,9375;29,5;25,879167;23,9;89,583333;70;8,1;2,041667;
2020-01-26;6,6;1007,645833;22,733333;27,3;23,620833;21,5;94,916667;77;6,4;1,595833;
2020-01-27;7,2;1008,5625;23,654167;30,3;24,5125;23;95,416667;70;8,6;1,566667;
2020-01-28;103,8;1009,2375;24,183333;31;26,1625;22,8;89,708333;66;6,4;1,858333;
2020-01-29;0;1010,504167;24;32,6;27,1875;24,2;83,833333;58;8,1;2,6375;
2020-01-30;0;1011,270833;23,3375;32,4;26,675;22,9;83,25;59;8,7;2,266667;
2020-01-31;0;1010,3875;23,375;33,3;26,608333;22,3;83,666667;55;8,3;2,120833;
